"product_id","product_name","product_type","product_line","launch_date","msrp","primary_supplier_id","is_active","product_id_clean","primary_supplier_id_clean","launch_dt","is_launch_date_bad","msrp_num","is_msrp_bad"
PRD-42527,Home Theater Flex 300,Home Theater,Mid,"2024-09-12",301.93,SUP-191161,1,PRD-42527,SUP-191161,2024-09-12 00:00:00.000,0,301.93,0
PRD-39154,Home Theater Max 800,Home Theater,Mid,"2023-01-02",208.68,SUP-356702,1,PRD-39154,SUP-356702,2023-01-02 00:00:00.000,0,208.68,0
PRD-96511,Home Theater Max 700,Home Theater,Mid,"2019-03-15",255.9,SUP-771088,1,PRD-96511,SUP-771088,2019-03-15 00:00:00.000,0,255.9,0
PRD-94080,Home Theater Wave 700,Home Theater,Premium,"2021-12-26",785.66,SUP-584714,1,PRD-94080,SUP-584714,2021-12-26 00:00:00.000,0,785.66,0
PRD-44237,Home Theater Pro 500,Home Theater,Mid,"12/25/2019",433.81,SUP-793384,1,PRD-44237,SUP-793384,2019-12-25 00:00:00.000,0,433.81,0
PRD-89457,Portable PA Wave 200,Portable PA,Premium,"2022-09-17",792.21,SUP-838797,1,PRD-89457,SUP-838797,2022-09-17 00:00:00.000,0,792.21,0
PRD-10221,Portable PA Wave 900,Portable PA,Premium,"2022-09-16",421.19,SUP-802729,1,PRD-10221,SUP-802729,2022-09-16 00:00:00.000,0,421.19,0
PRD-19171,Portable PA Shield 600,Portable PA,Mid,"2022-09-01",248.26,SUP-498591,1,PRD-19171,SUP-498591,2022-09-01 00:00:00.000,0,248.26,0
PRD-76469,Portable PA Flex 700,Portable PA,Entry,"2021-07-22",206.96,SUP-482554,1,PRD-76469,SUP-482554,2021-07-22 00:00:00.000,0,206.96,0
PRD-97153,Portable PA Air 300,Portable PA,Premium,"2022-07-30",462.64,SUP-944962,0,PRD-97153,SUP-944962,2022-07-30 00:00:00.000,0,462.64,0
PRD-47606,Portable PA Max 700,Portable PA,Mid,"2021-08-02",407.43,SUP-338968,1,PRD-47606,SUP-338968,2021-08-02 00:00:00.000,0,407.43,0
PRD-98555,Portable PA Max 900,Portable PA,Mid,"2022-10-05",315.25,SUP-440035,1,PRD-98555,SUP-440035,2022-10-05 00:00:00.000,0,315.25,0
PRD-21114,Portable PA Flex 900,Portable PA,Entry,"2024-08-08",209.39,SUP-403445,1,PRD-21114,SUP-403445,2024-08-08 00:00:00.000,0,209.39,0
PRD-40784,Portable PA Shield 500,Portable PA,Premium,"2025-05-22",808.21,SUP-308496,0,PRD-40784,SUP-308496,2025-05-22 00:00:00.000,0,808.21,0
PRD-90120,Aviation Headsets Ultra 800,Aviation Headsets,Premium,"2023-01-16",521.42,SUP-183667,1,PRD-90120,SUP-183667,2023-01-16 00:00:00.000,0,521.42,0
PRD-74799,Aviation Headsets Air 400,Aviation Headsets,Mid,"2022-04-07",378.59,SUP-974628,1,PRD-74799,SUP-974628,2022-04-07 00:00:00.000,0,378.59,0
PRD-65724,Aviation Headsets Max 300,Aviation Headsets,Premium,"2019-11-28",774.48,SUP-482554,1,PRD-65724,SUP-482554,2019-11-28 00:00:00.000,0,774.48,0
PRD-25906,Aviation Headsets Link 300,Aviation Headsets,Mid,"2021-02-13",211.55,SUP-391476,1,PRD-25906,SUP-391476,2021-02-13 00:00:00.000,0,211.55,0
PRD-68008,Aviation Headsets Pulse 900,Aviation Headsets,Mid,"2021-09-12",338.73,SUP-983794,1,PRD-68008,SUP-983794,2021-09-12 00:00:00.000,0,338.73,0
