"review_id","review_date","customer_id","product_id","order_id","rating","review_text","source","language"
REV-659247363,"2025-09-25",CUST-646622,PRD-62923,ORD-4639714,4.0,Noise cancellation is unreal,retail_site,en
REV-191541536,"2024-10-04",CUST-523808,PRD-91351,ORD-3517062,3.0,Firmware update fixed the glitch 🔊,retail_site,en
REV-726274879,"2025-08-15",CUST-455505,PRD-30635,ORD-2253844,4.0,Love it. overpriced tho,retail_site,en
REV-761592658,"2025-04-10",CUST-219971,PRD-35112,ORD-2042584,3.0,"Delivery was late. Works great in aviation cockpit, solid isolation",app,en
REV-465132552,"2024-08-17",CUST-256226,PRD-63354,ORD-3666416,4.0,Build quality feels premium,web,de
REV-402085408,"2025-05-14",CUST-410244,PRD-66155,ORD-8783596,4.0,Firmware update fixed the glitch,app,en
REV-859939511,"2024-01-31",CUST-992512,PRD-66155,,5.0,Battery life is worse than expected,web,en
REV-979240772,"2025-10-05",CUST-362147,PRD-84085,,4.0,Battery life is worse than expected 🔊,web,es
REV-876940976,"2025-07-04",CUST-392227,PRD-99353,ORD-3341460,4.0,Love it. overpriced tho,web,de
REV-283835624,"2024-10-31",CUST-713799,PRD-21114,ORD-2753985,,Home theater setup was easy but app UI is confusing,web,en
REV-941135351,"2025-03-23",CUST-397846,PRD-44237,,5.0,Battery life is worse than expected,retail_site,en
REV-971358793,"2025-08-17",CUST-347459,PRD-17100,,5.0,Love it. overpriced tho,web,en
REV-909648820,"2024-08-26",CUST-554582,PRD-66155,ORD-9669185,4.0,Love it. overpriced tho,web,en
REV-295592127,"2025-09-05",CUST-627335,PRD-82845,ORD-2884384,2.0,Delivery was late. Sound is crisp but bass could be better,web,en
REV-215748084,"2024-06-28",CUST-535020,PRD-23104,ORD-6170732,3.0,Pairing issues with my phone,support_followup,fr
REV-199732056,"2024-10-13",CUST-631958,PRD-24371,,,Firmware update fixed the glitch,retail_site,de
REV-456115306,"2025-12-29",CUST-160144,PRD-64040,ORD-8950188,5.0,Pairing issues with my phone,web,en
REV-712793777,"2025-07-01",CUST-455168,PRD-24371,ORD-5703791,,Firmware update fixed the glitch,web,
REV-889083826,"2025-10-07",CUST-607774 ,PRD-25129,ORD-7531255,5.0,Random disconnects after 20 minutes,retail_site,en
REV-598261862,"2024-05-18",CUST-342720,PRD-24371,ORD-2852738,3.0,"Works great in aviation cockpit, solid isolation",web,en
REV-765286832,"2025-05-04",CUST-606983,PRD-42018,ORD-2726142,4.0,Firmware update fixed the glitch,,en
REV-289093134,"2025-09-20",CUST-130094,PRD-12757,ORD-6325141,5.0,Love it. overpriced tho,retail_site,en
REV-478623026,"2024-12-24",CUST-102973,PRD-71348,ORD-3628683,3.0,Love it. overpriced tho,app,en
REV-368451381,"2024-01-25",CUST-802685,PRD-90120,ORD-3262487,3.0,Delivery was late. Home theater setup was easy but app UI is confusing,retail_site,en
REV-631339289,"2024-12-03",CUST-651499,PRD-71348,,3.0,Battery life is worse than expected,support_followup,en
REV-550814944,"2024-05-29",CUST-262029,PRD-63354,ORD-6351798,3.0,Build quality feels premium,web,
REV-534091713,"09/04/2024",CUST-326040,PRD-81066,ORD-6398834,3.0,Shipping box arrived damaged,support_followup,es
REV-354694605,"2025-04-06",CUST-417530,PRD-30635,ORD-2426119,3.0,Love it. overpriced tho,retail_site,fr
REV-996707544,"2024-04-18",CUST-622584,PRD-40982,,5.0,Pairing issues with my phone,web,en
REV-197012741,"2024-12-23",CUST-929151,PRD-89457,,4.0,"Works great in aviation cockpit, solid isolation",web,en
REV-722534168,"2024-07-31",CUST-147726,PRD-17100,ORD-8857554,4.0,"Works great in aviation cockpit, solid isolation",retail_site,
REV-877587508,"2024-10-22",CUST-606983,PRD-15229,,4.0,"Great for calls, mic is solid",retail_site,en
REV-790367550,"2025-03-28",CUST-263137,PRD-23104,ORD-9221898,4.0,Random disconnects after 20 minutes,web,
REV-929067278,"05/23/2025",CUST-986438,PRD-64040,ORD-3650163,5.0,"Great for calls, mic is solid",web,en
REV-192573835,"2025-09-24",CUST-853252,PRD-21114,ORD-7673925,3.0,Love it. overpriced tho 🔊,web,en
REV-771732249,"2024-03-25",CUST-122394,PRD-24371,ORD-5352703,4.0,,web,en
REV-770064304,"2025-01-15",CUST-981334,PRD-25129,ORD-8928358,4.0,Noise cancellation is unreal,retail_site,en
REV-928804435,"2024-01-29",CUST-180458,PRD-62923,,4.0,"Works great in aviation cockpit, solid isolation",web,en
REV-504640106,"2024-06-15",CUST-757629,PRD-79822,ORD-2273418,2.0,Battery life is worse than expected,support_followup,en
REV-218873816,"2025-03-10",CUST-517568,PRD-23104,ORD-2358114,4.0,Firmware update fixed the glitch,web,en
REV-506225485,"2024-10-18",CUST-507746,PRD-66155,,4.0,LOVE IT. OVERPRICED THO,app,en
REV-769890294,"06/27/2025",CUST-408528,PRD-68082,ORD-6744295,3.0,Love it. overpriced tho,web,en
REV-458290676,"2024-08-27",CUST-593152,PRD-10221,,4.0,"Great for calls, mic is solid",app,fr
REV-521492598,"2025-01-27",CUST-814919,PRD-25129,ORD-2771827,4.0,Shipping box arrived damaged,support_followup,en
REV-502059305,"2025-10-01",CUST-835244,PRD-25906,ORD-5762255,5.0,Shipping box arrived damaged,web,en
REV-797724882,"2024-02-04",CUST-718439,PRD-79329,ORD-9361460,4.0,Random disconnects after 20 minutes,web,en
REV-411438353,"2025-12-02",CUST-132653,PRD-96511,ORD-8844062,5.0,Love it. overpriced tho,retail_site,en
REV-620185051,"2025-12-06",CUST-216276,PRD-15229,,,"Works great in aviation cockpit, solid isolation",,en
REV-819894505,"2025-02-22",CUST-171603,PRD-66155,ORD-1029172,3.0,Firmware update fixed the glitch,app,en
REV-728703839,"2024-07-18",CUST-410244,PRD-66155,ORD-8783596,5.0,Noise cancellation is unreal,app,en
REV-131085083,"2024-08-04",CUST-685181,PRD-44237,,3.0,Pairing issues with my phone,app,en
REV-326436178,"2024-04-26",CUST-130271,PRD-24371,ORD-6105152,4.0,Shipping box arrived damaged,web,en
REV-884746879,"2024-06-10",CUST-571832,PRD-79822,ORD-1622684,4.0,,web,fr
REV-232211767,"2024-03-14",CUST-144412,PRD-66155,ORD-1610277,4.0,Battery life is worse than expected 🔊,web,fr
REV-421693643,"2024-12-15",CUST-683783,PRD-63354,,,"Works great in aviation cockpit, solid isolation",web,en
REV-749220660,"2024-02-20",CUST-794299,PRD-35112,,5.0,Home theater setup was easy but app UI is confusing,retail_site,es
REV-222899746,"2024-12-27",CUST-300845,PRD-68008,ORD-2707876,3.0,Love it. overpriced tho,app,en
REV-352120948,"2024-12-26",CUST-819796,PRD-65518,,4.0,Noise cancellation is unreal,web,en
REV-748928047,"2025-04-17",CUST-512042,PRD-47606,ORD-9093426,4.0,Noise cancellation is unreal,app,en
REV-536806482,"2025-05-14",CUST-720148,PRD-66155,ORD-5828260,,"Works great in aviation cockpit, solid isolation",app,en
REV-118010468,"2025-07-25",CUST-674993,PRD-59672,,4.0,Noise cancellation is unreal,support_followup,en
REV-485854831,"2025-09-25",CUST-911984,PRD-17100,ORD-1454353,5.0,Battery life is worse than expected,web,en
REV-307359649,"2024-10-27",CUST-267457,PRD-23104,ORD-2283793,3.0,Build quality feels premium,retail_site,en
REV-540469702,"2025-03-07",CUST-565504,PRD-10221,ORD-5471563,3.0,HOME THEATER SETUP WAS EASY BUT APP UI IS CONFUSING,retail_site,de
REV-407360638,"2024-05-11",CUST-177680,PRD-24371,ORD-8864473,3.0,Build quality feels premium 🔊,retail_site,en
REV-706447206,"2024-10-24",CUST-855638,PRD-59672,ORD-5412068,3.0,Returned it. Noise cancellation is unreal,web,en
REV-496381681,"2025-07-30",CUST-993744,PRD-44237,ORD-3255817,5.0,Battery life is worse than expected,app,en
REV-687156719,"2024-07-01",CUST-579441,PRD-44237,ORD-9260460,,Build quality feels premium,web,en
REV-494327633,"2024-10-15",CUST-299028,PRD-25129,ORD-9536466,4.0,Random disconnects after 20 minutes,retail_site,en
REV-367289992,"2024-04-15",CUST-118080,PRD-63354,,,Shipping box arrived damaged,web,en
REV-238284435,"2025-05-06",CUST-596249,PRD-66155,ORD-7710559,5.0,Home theater setup was easy but app UI is confusing,app,en
REV-627732016,"2025-08-23",CUST-307963,PRD-66155,ORD-8596042,5.0,"Great for calls, mic is solid",,es
REV-696287803,"2024-03-03",CUST-599380,PRD-24371,,4.0,Love it. overpriced tho,support_followup,en
REV-953923445,"2024-02-05",CUST-147504,PRD-91351,ORD-1945741,4.0,"Great for calls, mic is solid",app,en
REV-264563864,"2025-12-23",CUST-664315,PRD-66155,ORD-9758978,5.0,Sound is crisp but bass could be better,support_followup,en
REV-824557332,"2024-04-01",CUST-440131,PRD-42527,,4.0,Love it. overpriced tho,retail_site,en
REV-716721751,"2024-07-26",CUST-811875,PRD-23104,ORD-6188122,4.0,Sound is crisp but bass could be better,app,en
REV-564378027,"2024-07-21",CUST-398910,PRD-35112,ORD-3888972,4.0,BATTERY LIFE IS WORSE THAN EXPECTED,app,en
REV-209680839,"2024-10-03",CUST-884897,PRD-66155,ORD-7732548,3.0,HOME THEATER SETUP WAS EASY BUT APP UI IS CONFUSING,web,en
REV-853724392,"2025-10-17",CUST-235215,PRD-19171,,4.0,Pairing issues with my phone,support_followup,fr
REV-696577812,"2024-05-24",CUST-427766,PRD-68082,ORD-1582351,2.0,Random disconnects after 20 minutes,support_followup,en
REV-517947571,"2025-05-23",CUST-670511,PRD-62923,ORD-1861426,5.0,Home theater setup was easy but app UI is confusing,app,en
REV-907091806,"2025-05-06",CUST-936020,PRD-71348,,3.0,Home theater setup was easy but app UI is confusing,web,en
REV-674773364,"2025-09-04",CUST-501574 ,PRD-40982,ORD-1885315,1.0,"Delivery was late. Works great in aviation cockpit, solid isolation",web,en
REV-513815394,"2025-02-08",CUST-942700,PRD-81066,ORD-9277693,4.0,Returned it. Random disconnects after 20 minutes,web,en
REV-341408616,"2024-10-09",CUST-563187,PRD-23104,,4.0,Home theater setup was easy but app UI is confusing 🔊,app,en
REV-637784984,"2025-02-02",CUST-805188,PRD-99353,ORD-2188557,3.0,Shipping box arrived damaged,web,en
REV-329847235,"2025-09-15",CUST-228093,PRD-84085,ORD-6032806,4.0,Love it. overpriced tho,retail_site,en
REV-833972216,"2025-04-18",CUST-444432,PRD-17100,ORD-7972684,4.0,BATTERY LIFE IS WORSE THAN EXPECTED,web,en
REV-595944129,"2024-02-04",CUST-180913,PRD-66155,ORD-7914859,3.0,Random disconnects after 20 minutes,web,en
REV-224429040,"2025-08-19",CUST-755420,PRD-68082,ORD-2295817,4.0,Sound is crisp but bass could be better,app,
REV-635877883,"2024-12-16",CUST-336650,PRD-68082,ORD-9369352,,Sound is crisp but bass could be better,app,en
REV-656109699,"2025-11-06",CUST-757685,PRD-65724,ORD-6782304,5.0,"GREAT FOR CALLS, MIC IS SOLID 🔊",web,en
REV-726148009,"2024-03-05",CUST-621841,PRD-42018,,5.0,,app,en
REV-535576817,"2025-08-19",CUST-581894,PRD-23104,ORD-7701349,4.0,Love it. overpriced tho,app,en
REV-863785098,"2025-04-19",CUST-942700,PRD-66155,ORD-2391219,4.0,Delivery was late. Firmware update fixed the glitch 🔊,web,en
REV-749027070,"2025-05-10",CUST-489244,PRD-10074,,4.0,"Works great in aviation cockpit, solid isolation",web,
REV-244708924,"2025-04-16",CUST-332311,PRD-10074,ORD-8933459,5.0,LOVE IT. OVERPRICED THO,app,en
REV-268623436,"2024-04-21",CUST-976566,PRD-81066,ORD-5853618,5.0,Battery life is worse than expected,app,en
REV-636801456,"2025-09-01",CUST-891615,PRD-25129,ORD-6310208,5.0,BUILD QUALITY FEELS PREMIUM,retail_site,de
REV-733806942,"2025-01-31",CUST-264136,PRD-84085,ORD-6066447,4.0,PAIRING ISSUES WITH MY PHONE,app,en
REV-982371416,"2025-01-07",CUST-551524,PRD-30635,ORD-8287990,3.0,Battery life is worse than expected,,en
REV-729610007,"2024-04-02",CUST-363615,PRD-23104,ORD-1450773,4.0,"Great for calls, mic is solid",retail_site,en
REV-458340330,"2025-02-20",CUST-523808,PRD-91351,,4.0,Battery life is worse than expected,web,en
REV-557733046,"2024-08-04",CUST-854540,PRD-74799,,3.0,Random disconnects after 20 minutes,app,en
REV-329951478,"2025-08-18",CUST-489518,PRD-79329,ORD-9034861,3.0,Delivery was late. Build quality feels premium,retail_site,en
REV-830571043,"2024-10-31",CUST-962367,PRD-42018,ORD-7616241,5.0,"Works great in aviation cockpit, solid isolation",retail_site,es
REV-644610168,"2025-04-07",CUST-160144,PRD-64040,ORD-8950188,5.0,Shipping box arrived damaged,web,en
REV-582687728,"2025-04-11",CUST-524068,PRD-35112,ORD-7675274,3.0,Build quality feels premium,web,es
REV-987584108,"2024-03-11",CUST-387782,PRD-30635,ORD-4188264,4.0,BATTERY LIFE IS WORSE THAN EXPECTED,web,en
REV-292610770,"2025-03-01",CUST-170394,PRD-59672,,4.0,Firmware update fixed the glitch,support_followup,en
REV-859523749,"2025-09-25",CUST-760626,PRD-25129,,5.0,Sound is crisp but bass could be better 🔊,support_followup,en
REV-171490181,"2025-02-12",CUST-242291,PRD-24371,ORD-5510633,2.0,Firmware update fixed the glitch 🔊,app,en
REV-308307922,"2025-01-17",CUST-748151,PRD-40784,,4.0,Shipping box arrived damaged,app,en
REV-594331249,"2024-05-14",CUST-882824,PRD-67912,ORD-4126142,4.0,Noise cancellation is unreal,web,en
REV-302650053,"2024-03-19",CUST-322423,PRD-10221,,4.0,Shipping box arrived damaged,app,en
REV-581443962,"2024-03-29",CUST-414527,PRD-64040,ORD-7500790,3.0,SOUND IS CRISP BUT BASS COULD BE BETTER,retail_site,
REV-609106684,"2024-12-21",CUST-483629,PRD-74799,ORD-9676799,4.0,Build quality feels premium,app,en
REV-158667327,"02/17/2024",CUST-561865,PRD-42018,ORD-4580036,5.0,Battery life is worse than expected,retail_site,en
REV-685736472,"2024-03-07",CUST-535970,PRD-63354,,3.0,Firmware update fixed the glitch,web,en
REV-530287274,"2025-12-29",CUST-766549,PRD-35112,,4.0,,,de
REV-108181534,"2025-05-21",CUST-267082,PRD-41385,ORD-4407974,3.0,"Great for calls, mic is solid",web,en
REV-998718065,"2025-10-09",CUST-788457,PRD-66155,,4.0,,retail_site,en
REV-335709116,"2024-01-01",CUST-715870,PRD-99353,ORD-4911474,4.0,Battery life is worse than expected,web,en
REV-568474472,"2024-10-07",CUST-332823,PRD-99353,ORD-4879573,2.0,"Works great in aviation cockpit, solid isolation",retail_site,en
REV-357238964,"2025-04-24",CUST-722503,PRD-64040,ORD-1765108,3.0,Noise cancellation is unreal,web,en
REV-366367744,"2024-07-22",CUST-416061,PRD-91351,ORD-6213851,5.0,,web,en
REV-430403006,"2025-09-17",CUST-466960,PRD-62923,ORD-4858138,5.0,"Great for calls, mic is solid",web,de
REV-991221674,"10/22/2025",CUST-164879,PRD-89457,ORD-9860151,4.0,Build quality feels premium,web,en
REV-944513898,"2024-12-30",CUST-572700,PRD-66155,ORD-3039145,2.0,Pairing issues with my phone,app,de
REV-957094360,"2024-07-09",CUST-965322,PRD-93130,ORD-4675955,3.0,Shipping box arrived damaged,retail_site,en
REV-866222828,"2024-09-01",CUST-501451,PRD-30635,,3.0,Battery life is worse than expected,app,en
REV-572345548,"2024-11-23",CUST-152995,PRD-17100,ORD-1173250,3.0,Love it. overpriced tho,web,en
REV-983207938,"2024-04-14",CUST-295085,PRD-10074,ORD-8886446,3.0,Returned it. Random disconnects after 20 minutes,support_followup,en
REV-265876474,"2024-09-09",CUST-973074,PRD-49117,ORD-2621876,5.0,Love it. overpriced tho,app,en
REV-226968201,"08/25/2025",CUST-393328,PRD-74799,ORD-2994604,4.0,"GREAT FOR CALLS, MIC IS SOLID",web,es
REV-555992252,"2024-02-03",CUST-455395,PRD-24371,ORD-6481468,4.0,Battery life is worse than expected,web,en
REV-717727838,"2025-02-16",CUST-931016,PRD-23104,ORD-5765305,5.0,Firmware update fixed the glitch,web,es
REV-654930331,"2024-10-16",CUST-251668,PRD-24371,ORD-4559696,5.0,Noise cancellation is unreal,app,
REV-369898866,"2025-05-21",CUST-800674,PRD-30635,ORD-1637445,4.0,,web,en
REV-524696663,"2025-04-14",CUST-196214,PRD-82845,ORD-6941874,3.0,Returned it. Random disconnects after 20 minutes,web,en
REV-854180334,"2025-10-17",CUST-755788,PRD-10074,,4.0,Sound is crisp but bass could be better,app,en
REV-207850518,"2024-03-17",CUST-766459,PRD-63354,ORD-8161740,5.0,Battery life is worse than expected,retail_site,en
REV-530712193,"2025-02-09",CUST-386544,PRD-41385,ORD-4668625,4.0,"Great for calls, mic is solid",web,en
REV-792128541,"2025-09-20",CUST-943671,PRD-61876,,3.0,Love it. overpriced tho,retail_site,fr
REV-979042414,"2024-06-27",CUST-172306 ,PRD-44237,ORD-2857107,,Shipping box arrived damaged,web,en
REV-216938543,"2024-06-03",CUST-945664,PRD-42018,ORD-1927681,,Shipping box arrived damaged,retail_site,en
REV-478572837,"2025-01-18",CUST-531641,PRD-63354,ORD-3544066,3.0,Random disconnects after 20 minutes 🔊,retail_site,en
REV-161660123,"2025-11-19",CUST-398151,PRD-99353,ORD-1599460,5.0,Firmware update fixed the glitch,app,en
REV-505640464,"2025-03-13",CUST-946432,PRD-25129,ORD-5794031,4.0,Firmware update fixed the glitch,retail_site,en
REV-520340735,"2025-10-30",CUST-600149,PRD-91351,,3.0,Love it. overpriced tho,retail_site,en
REV-218779237,"01/28/2024",CUST-859359,PRD-66155,ORD-7658087,2.0,Noise cancellation is unreal,support_followup,fr
REV-958037617,"2025-01-07",CUST-602248,PRD-64040,,4.0,Random disconnects after 20 minutes,web,en
REV-918707016,"2025-01-07",CUST-763928,PRD-35112,ORD-6935879,5.0,Home theater setup was easy but app UI is confusing,web,en
REV-762173458,"2025-07-15",CUST-928358,PRD-82845,ORD-3210858,4.0,"Great for calls, mic is solid",app,fr
REV-896378873,"2024-10-25",CUST-881886,PRD-66155,ORD-6055709,4.0,Noise cancellation is unreal,retail_site,en
REV-776720744,"2024-08-01",CUST-929822,PRD-24371,ORD-1841770,4.0,Random disconnects after 20 minutes,web,en
REV-537542206,"2025-06-21",CUST-550961,PRD-59672,ORD-5490659,2.0,DELIVERY WAS LATE. BATTERY LIFE IS WORSE THAN EXPECTED,web,en
REV-647928416,"2025-11-19",CUST-621841,PRD-10221,ORD-2915517,4.0,Love it. overpriced tho,web,en
REV-404585516,"2024-11-18",CUST-275939,PRD-61876,ORD-7208118,2.0,"Works great in aviation cockpit, solid isolation",retail_site,en
REV-860868613,"2025-09-17",CUST-596564,PRD-76469,ORD-3034083,4.0,"Great for calls, mic is solid",app,en
REV-653471685,"2024-10-18",CUST-638289,PRD-79329,ORD-7750460,4.0,Shipping box arrived damaged,web,en
REV-100394658,"2024-01-03",CUST-190403,PRD-68082,ORD-3905192,4.0,Sound is crisp but bass could be better,web,en
REV-266899059,"2024-06-15",CUST-131757,PRD-41385,,4.0,Sound is crisp but bass could be better,web,en
REV-963094163,"2025-10-30",CUST-570392,PRD-93130,,4.0,"Works great in aviation cockpit, solid isolation",app,en
REV-213451080,"2024-07-19",CUST-300337,PRD-97153,ORD-8079179,4.0,Home theater setup was easy but app UI is confusing,retail_site,en
REV-754930413,"2024-04-06",CUST-715448,PRD-30635,ORD-3444454,4.0,,web,en
REV-916605874,"2024-01-14",CUST-483629,PRD-30635,ORD-3081118,4.0,Pairing issues with my phone,web,en
REV-658973601,"2025-06-16",CUST-640418,PRD-25129,,4.0,Sound is crisp but bass could be better,app,en
REV-934299058,"2024-02-23",CUST-940247,PRD-24371,,5.0,Shipping box arrived damaged,app,en
REV-779049140,"2025-03-27",CUST-995916,PRD-79329,ORD-1669800,5.0,Build quality feels premium,support_followup,en
REV-786247193,"2025-09-04",CUST-178711,PRD-99353,ORD-3316461,4.0,Noise cancellation is unreal,web,en
REV-905765925,"2025-02-06",CUST-542042,PRD-63354,ORD-9297041,4.0,Love it. overpriced tho,,en
REV-588460352,"2025-12-21",CUST-766158,PRD-74799,ORD-6735246,4.0,SOUND IS CRISP BUT BASS COULD BE BETTER,app,de
REV-908154974,"2024-10-19",CUST-892280,PRD-42018,,4.0,Home theater setup was easy but app UI is confusing,web,en
REV-746298027,"2024-03-30",CUST-208633,PRD-42527,ORD-2120844,4.0,"Great for calls, mic is solid",web,en
REV-524738804,"2025-07-02",CUST-740255,PRD-25129,ORD-8782623,3.0,Delivery was late. Sound is crisp but bass could be better,web,en
REV-676744051,"2025-12-15",CUST-177794,PRD-84085,ORD-1580541,4.0,Pairing issues with my phone,web,en
REV-239138304,"2024-08-04",CUST-810687,PRD-93130,,3.0,Delivery was late. Pairing issues with my phone 🔊,web,en
REV-453994308,"12/06/2025",CUST-235215,PRD-24371,ORD-4780952,4.0,,app,en
REV-276908683,"2024-11-07",CUST-321494,PRD-24371,ORD-2403490,3.0,"Works great in aviation cockpit, solid isolation",app,de
REV-231795090,"2024-12-16",CUST-575679,PRD-17100,ORD-9421022,4.0,"Great for calls, mic is solid",web,en
REV-940249205,"2025-11-23",CUST-345884,PRD-84085,ORD-6689378,4.0,"Great for calls, mic is solid",web,en
REV-235300040,"2024-06-01",CUST-640418,PRD-25129,ORD-7781598,5.0,"Works great in aviation cockpit, solid isolation",app,es
REV-188589654,"2024-10-17",CUST-996840,PRD-10425,ORD-9255053,3.0,Battery life is worse than expected,retail_site,en
REV-599942535,"2025-05-03",CUST-500422,PRD-12757,,4.0,Battery life is worse than expected,retail_site,en
REV-736903241,"2025-08-05",CUST-232321,PRD-19171,ORD-2377836,5.0,Random disconnects after 20 minutes,,fr
REV-148344888,"2024-01-28",CUST-605937,PRD-66155,ORD-8332874,4.0,Pairing issues with my phone,web,es
REV-372309334,"2025-02-06",CUST-755900,PRD-66155,,5.0,SOUND IS CRISP BUT BASS COULD BE BETTER,app,en
REV-157058032,"2024-12-19",CUST-811875,PRD-64040,ORD-4918389,5.0,Love it. overpriced tho 🔊,retail_site,en
REV-259153795,"2025-01-15",CUST-656251,PRD-42018,,2.0,Noise cancellation is unreal 🔊,retail_site,en
REV-325949440,"2025-01-12",CUST-209680,PRD-95180,ORD-4829073,4.0,,app,en
REV-982743310,"2025-05-22",CUST-811444,PRD-17100,ORD-8469733,4.0,Firmware update fixed the glitch,web,en
REV-533458948,"2024-10-08",CUST-244383,PRD-25129,,4.0,"Great for calls, mic is solid",web,en
REV-422111145,"2024-02-25",CUST-113266,PRD-21114,ORD-9996694,4.0,Noise cancellation is unreal,retail_site,en
REV-889575106,"2024-03-10",CUST-611650,PRD-61876,,5.0,Noise cancellation is unreal,support_followup,en
REV-251863855,"02/04/2025",CUST-718439,PRD-23104,ORD-6839634,4.0,"Works great in aviation cockpit, solid isolation",retail_site,en
REV-677009724,"2025-10-08",CUST-591081,PRD-25129,ORD-5131602,2.0,Shipping box arrived damaged,app,en
REV-320447268,"2024-04-03",CUST-297383,PRD-24371,ORD-6347006,4.0,"Works great in aviation cockpit, solid isolation",web,en
REV-374503182,"2024-06-12",CUST-507746,PRD-79329,,4.0,Random disconnects after 20 minutes,web,fr
REV-678497496,"2024-11-24",CUST-130434,PRD-99353,ORD-6163404,3.0,Pairing issues with my phone,support_followup,en
REV-671560740,"2025-01-20",CUST-501451,PRD-61876,ORD-1057449,5.0,Home theater setup was easy but app UI is confusing,retail_site,en
REV-349038372,"2024-06-19",CUST-567574,PRD-21114,ORD-4427014,5.0,Sound is crisp but bass could be better,web,es
REV-155804204,"2025-09-06",CUST-571579,PRD-10425,ORD-6376912,3.0,Build quality feels premium 🔊,retail_site,en
REV-988994904,"2024-12-19",CUST-518098,PRD-63354,,3.0,Noise cancellation is unreal,support_followup,en
REV-978726489,"2025-03-04",CUST-626986,PRD-25129,ORD-9785044,4.0,Sound is crisp but bass could be better,retail_site,en
