campaign_id,campaign_name,campaign_type,objective,start_date,end_date
CMP-222994,PortablePA_Weekend,Promo,Conversion,2024-08-26,
CMP-352468,HomeTheater_Upgrade,Influencer,Conversion,2024-07-02,
CMP-687354,Flash_Deal,Influencer,Awareness,2024-12-05,
CMP-512349,Aviation_Push,Affiliate,Retention,2024-07-09,
CMP-495637,Campus_Promo,Promo,Awareness,2025-03-07,
CMP-911513,Studio_Refresh,Affiliate,Awareness,10/17/2024,2024-10-31
CMP-504257,Spring_Sound,Paid Social,Retention,2024-05-03,
CMP-840551,Flash_Deal,Email,Consideration,2024-12-31,
CMP-597526,Studio_Refresh,Paid Social,Awareness,2024-11-02,
CMP-472235,Campus_Promo,Email,Conversion,2025-01-01,
CMP-426905,Flash_Deal,Paid Search,Conversion,2025-10-07,
CMP-979387,Studio_Refresh,Retail Coop,Awareness,2024-07-07,
CMP-647341,BackToSchool,Influencer,Retention,2024-03-15,
CMP-432369,PortablePA_Weekend,Affiliate,Conversion,2024-09-04,
CMP-656464,Campus_Promo,Paid Search,Conversion,2024-04-13,
CMP-181998,Aviation_Push,Paid Search,Conversion,2024-09-11,
CMP-734787,Holiday_Blast,Influencer,Conversion,2025-09-28,
CMP-983101,BackToSchool,Influencer,Consideration,2025-11-08,
CMP-324289,PortablePA_Weekend,Email,Consideration,2024-11-01,
CMP-274185,Partner_Sale,Paid Social,Conversion,2024-09-26,
CMP-764555,PortablePA_Weekend,Promo,Conversion,2025-07-29,
CMP-974098,Flash_Deal,Email,Awareness,2024-01-21,
CMP-391228,HomeTheater_Upgrade,Promo,Conversion,2025-04-17,
CMP-845902,BackToSchool,Paid Search,Conversion,2024-07-01,
CMP-249824,Partner_Sale,Promo,Awareness,2024-09-20,
CMP-980673,Flash_Deal,Paid Social,Awareness,2024-01-02,
CMP-558482,Campus_Promo,Email,Consideration,2025-08-06,
CMP-687712,Aviation_Push,Influencer,Conversion,2024-03-01,
CMP-563100,PortablePA_Weekend,Paid Social,Awareness,2024-04-17,
CMP-613900,Campus_Promo,Retail Coop,Consideration,2024-02-04,
CMP-828864,Partner_Sale,Paid Social,Conversion,2024-12-04,
CMP-927289,Flash_Deal,Retail Coop,Conversion,2024-10-25,
CMP-362709,HomeTheater_Upgrade,Email,Consideration,2024-11-26,
CMP-818660,PortablePA_Weekend,Influencer,Consideration,2024-08-29,
CMP-226080,Aviation_Push,Paid Social,Conversion,2025-09-29,
CMP-685005,HomeTheater_Upgrade,Retail Coop,Retention,2024-07-21,
CMP-556564,Studio_Refresh,Influencer,Retention,2024-11-23,
CMP-783768,Flash_Deal,Affiliate,Conversion,2024-11-05,
CMP-465093,Campus_Promo,Affiliate,Consideration,2025-10-09,
CMP-286659,PortablePA_Weekend,Affiliate,Consideration,2025-09-18,
CMP-126524,PortablePA_Weekend,Promo,Awareness,2025-06-16,
CMP-483450,Partner_Sale,Paid Social,Awareness,2025-05-24,
CMP-996922,Aviation_Push,Email,Conversion,2025-09-16,
CMP-588715,Holiday_Blast,Email,Consideration,2024-05-04,
CMP-908184,Studio_Refresh,Promo,Consideration,2025-03-22,
CMP-802586,HomeTheater_Upgrade,Email,Retention,2025-06-17,
CMP-462798,BackToSchool,Retail Coop,Awareness,2025-01-12,
CMP-863878,BackToSchool,Affiliate,Awareness,2025-06-04,
CMP-544677,PortablePA_Weekend,Paid Social,Awareness,08/22/2025,2025-09-12
CMP-324164,Partner_Sale,Email,Conversion,2024-11-26,
CMP-746944,Spring_Sound,Email,Conversion,2025-05-07,
CMP-686986,PortablePA_Weekend,Paid Search,Consideration,2025-09-18,
CMP-300261,BackToSchool,Paid Search,Conversion,2024-12-15,
CMP-501035,BackToSchool,Paid Search,Conversion,2025-08-29,
CMP-492383,Studio_Refresh,Paid Social,Conversion,2024-09-17,
CMP-287700,Campus_Promo,Affiliate,Retention,2024-10-10,
CMP-883945,Spring_Sound,Influencer,Conversion,2024-05-18,
CMP-111190,PortablePA_Weekend,Affiliate,Conversion,2025-02-16,
CMP-305349,Studio_Refresh,Affiliate,Awareness,2025-11-06,
CMP-563555,Partner_Sale,Paid Social,Awareness,04/26/2024,2024-05-17
CMP-478526,Studio_Refresh,Retail Coop,Awareness,2025-07-03,
CMP-651553,PortablePA_Weekend,Retail Coop,Conversion,2024-06-02,
CMP-304355,Flash_Deal,Paid Social,Conversion,2025-04-22,
CMP-105887,Holiday_Blast,Paid Search,Conversion,2024-12-19,
CMP-714663,PortablePA_Weekend,Email,Awareness,2024-12-26,
CMP-425468,Aviation_Push,Promo,Conversion,2024-04-04,
CMP-444406,BackToSchool,Promo,Retention,2024-12-23,
CMP-198679,Spring_Sound,Influencer,Conversion,2025-11-21,
CMP-486785,Spring_Sound,Email,Conversion,2024-10-13,
CMP-366086,Campus_Promo,Influencer,Conversion,2024-09-19,
CMP-627217,Holiday_Blast,Paid Search,Retention,2025-08-18,
CMP-113625,Aviation_Push,Influencer,Conversion,2025-02-25,
CMP-736249,BackToSchool,Email,Conversion,2024-08-15,
CMP-386290,Spring_Sound,Email,Awareness,2024-01-14,
CMP-135156,Aviation_Push,Promo,Awareness,2024-08-19,
CMP-778657,Studio_Refresh,Retail Coop,Conversion,2025-04-07,
CMP-388307,Campus_Promo,Paid Search,Awareness,07/22/2025,2025-08-05
CMP-772844,PortablePA_Weekend,Paid Social,Retention,2025-07-27,
CMP-601989,PortablePA_Weekend,Influencer,Consideration,2024-05-16,
CMP-517641,Flash_Deal,Promo,Retention,2024-03-14,
CMP-146050,BackToSchool,Influencer,Consideration,2024-04-22,
CMP-829283,Aviation_Push,Influencer,Consideration,2024-11-30,
CMP-838474,HomeTheater_Upgrade,Paid Social,Retention,2024-09-25,
CMP-365329,Spring_Sound,Paid Search,Consideration,2025-06-19,
CMP-387492,Partner_Sale,Email,Consideration,2025-10-03,
CMP-755643,Partner_Sale,Affiliate,Awareness,2025-07-23,
CMP-160006,PortablePA_Weekend,Influencer,Conversion,2025-03-18,
CMP-699975,HomeTheater_Upgrade,Affiliate,Consideration,2024-02-29,
CMP-963319,Partner_Sale,Paid Search,Conversion,2024-01-30,
CMP-131904,Holiday_Blast,Affiliate,Conversion,2025-07-16,
CMP-852908,Holiday_Blast,Influencer,Conversion,2025-11-16,
CMP-593679,BackToSchool,Paid Social,Conversion,2025-02-02,
CMP-737058,HomeTheater_Upgrade,Affiliate,Conversion,2024-03-02,
CMP-762951,Holiday_Blast,Paid Search,Consideration,2025-05-09,
CMP-576557,Holiday_Blast,Paid Search,Conversion,2024-11-24,
CMP-614117,PortablePA_Weekend,Retail Coop,Consideration,2024-05-22,
CMP-282212,Partner_Sale,Retail Coop,Conversion,2024-07-18,
CMP-596446,BackToSchool,Paid Social,Consideration,2025-07-30,
CMP-886364,Aviation_Push,Affiliate,Retention,2025-10-12,
CMP-779003,Studio_Refresh,Affiliate,Consideration,2024-03-31,
CMP-887046,Spring_Sound,Retail Coop,Consideration,2025-03-19,
CMP-672089,Spring_Sound,Email,Conversion,2024-08-23,
CMP-946652,Campus_Promo,Promo,Conversion,2025-02-22,
CMP-208933,Studio_Refresh,Paid Search,Awareness,2024-07-08,
CMP-140048,Studio_Refresh,Email,Conversion,2024-02-07,
CMP-487484,Spring_Sound,Paid Search,Conversion,2025-01-02,
CMP-130237,Spring_Sound,Email,Retention,2024-12-05,
CMP-742693,Aviation_Push,Retail Coop,Conversion,2025-06-19,
CMP-847960,HomeTheater_Upgrade,Retail Coop,Consideration,2024-08-03,
CMP-260633,HomeTheater_Upgrade,Promo,Awareness,2024-02-05,
CMP-839916,Aviation_Push,Email,Retention,2024-05-20,
CMP-871957,Partner_Sale,Paid Search,Conversion,07/30/2024,2024-08-29
CMP-285501,Studio_Refresh,Affiliate,Awareness,06/09/2024,2024-06-23
CMP-992278,Flash_Deal,Paid Search,Awareness,2024-11-17,
CMP-238043,Studio_Refresh,Influencer,Conversion,2024-08-01,
CMP-186847,Campus_Promo,Retail Coop,Consideration,2025-04-10,
CMP-539953,Spring_Sound,Paid Social,Consideration,2025-05-08,
CMP-974579,Studio_Refresh,Paid Social,Awareness,2024-06-20,
CMP-986888,Spring_Sound,Retail Coop,Consideration,2025-07-04,
CMP-225228,Studio_Refresh,Influencer,Consideration,2024-02-19,
CMP-158770,Campus_Promo,Paid Social,Conversion,2025-07-19,
CMP-564915,Partner_Sale,Retail Coop,Consideration,2025-10-04,
CMP-768444,Flash_Deal,Paid Social,Consideration,2024-11-22,
CMP-845108,Holiday_Blast,Retail Coop,Consideration,2024-09-12,
CMP-165352,Aviation_Push,Promo,Consideration,2025-01-04,
CMP-429500,Aviation_Push,Affiliate,Awareness,2024-01-10,
CMP-202210,Flash_Deal,Affiliate,Consideration,2024-09-05,
CMP-999563,Studio_Refresh,Paid Search,Conversion,2024-12-11,
CMP-670512,Holiday_Blast,Influencer,Awareness,2025-10-25,
CMP-390956,Campus_Promo,Retail Coop,Awareness,2024-06-12,
CMP-993990,HomeTheater_Upgrade,Email,Awareness,2024-05-12,
CMP-303614,Studio_Refresh,Paid Search,Conversion,2024-07-17,
CMP-786927,Partner_Sale,Paid Search,Retention,2025-05-28,
CMP-743829,Spring_Sound,Retail Coop,Awareness,2024-03-02,
CMP-873276,BackToSchool,Retail Coop,Retention,2025-03-11,
CMP-117484,Studio_Refresh,Paid Search,Awareness,2024-03-05,
CMP-448824,BackToSchool,Paid Search,Conversion,2025-02-15,
CMP-977944,Studio_Refresh,Affiliate,Consideration,2024-08-14,
CMP-804633,Flash_Deal,Email,Conversion,2024-12-16,
CMP-989433,BackToSchool,Paid Search,Conversion,2024-01-23,
CMP-431853,Studio_Refresh,Affiliate,Consideration,2025-03-30,
CMP-843764,Aviation_Push,Paid Search,Conversion,2024-09-30,
CMP-277433,BackToSchool,Paid Social,Conversion,2024-11-18,
CMP-715354,Studio_Refresh,Paid Search,Consideration,2024-01-19,
CMP-857213,HomeTheater_Upgrade,Retail Coop,Awareness,2024-08-08,
CMP-484047,Spring_Sound,Influencer,Awareness,2025-01-16,
