claim_id,claim_date,order_id,device_id,issue_type,severity,warranty_approved,replacement_ship_days,notes
CLM-813968972,2025-02-26,ORD-1965354,DEV-9147219136,Connectivity,low,1.0,5.0,customer reports intermittent issue
CLM-246636876,2025-01-08,ORD-3210858,DEV-1419310009,Connectivity,low,1.0,3.0,needs firmware
CLM-363620338,2025-10-23,ORD-5003750,DEV-9880581242,Connectivity,med,1.0,5.0,
CLM-710486288,2025-08-05,ORD-4616065,DEV-5239018130,Physical Damage,critical,1.0,5.0,customer reports intermittent issue
CLM-876408584,2025-11-26,ORD-2240285,DEV-1007843182,Software,critical,1.0,10.0,customer reports intermittent issue
CLM-214887188,2025-12-19,ORD-7921243,DEV-7587586398,Battery,high,1.0,7.0,no fault found
CLM-263021800,2025-03-23,ORD-6651435,DEV-3008993617,Physical Damage,med,1.0,2.0,customer reports intermittent issue
CLM-211965575,2024-06-24,ORD-8107026,DEV-1007843182,Connectivity,low,,3.0,customer reports intermittent issue
CLM-760020304,2024-07-23,ORD-8586307,DEV-3413089717,Software,med,1.0,10.0,
CLM-907433347,2025-06-08,ORD-3304609,DEV-9297601747,Physical Damage,med,1.0,10.0,customer reports intermittent issue
CLM-453604911,2025-05-29,ORD-1964078,DEV-9726790829,Software,med,0.0,5.0,customer reports intermittent issue
CLM-896312561,2025-10-23,OR-2038401,DEV-3584703554,Connectivity,med,1.0,7.0,customer reports intermittent issue
CLM-771529252,2025-04-01,ORD-6538428,DEV-1007843182,Sound Distortion,med,1.0,5.0,repeat failure
CLM-925611185,2025-11-12,ORD-5676086,DEV-4657953422,Connectivity,med,1.0,,customer reports intermittent issue
CLM-959273039,2025-06-22,ORD-5392976,DEV-2285973746,,med,1.0,5.0,
CLM-430245941,2025-02-18,ORD-7276878,DEV-9583324551,Connectivity,high,1.0,5.0,customer reports intermittent issue
CLM-424971746,2024-03-04,ORD-9137396,DEV-4448781108,Overheating,low,1.0,7.0,customer reports intermittent issue
CLM-543106303,2025-09-22,ORD-1668383,DEV-8963868995,Software,med,1.0,7.0,customer reports intermittent issue
CLM-762723274,2025-07-22,ORD-4919622,DEV-4383631992,Physical Damage,low,1.0,10.0,repeat failure
CLM-796538732,2025-12-19,ORD-2127840,DEV-5619103195,Overheating,low,,2.0,needs firmware
CLM-827908480,2024-08-04,ORD-8709047,DEV-1637036957,Physical Damage,med,0.0,7.0,customer reports intermittent issue
CLM-507134221,2025-11-06,ORD-3525756,DEV-9874783747,,high,1.0,5.0,customer reports intermittent issue
CLM-682725979,2025-02-10,ORD-4372199,DEV-9687273981,Connectivity,med,0.0,10.0,customer reports intermittent issue
CLM-896712608,2024-10-07,ORD-8321422,DEV-6107179957,Connectivity,low,1.0,5.0,
CLM-970827347,2024-09-12,ORD-1175511,DEV-4477678631,Software,low,1.0,3.0,no fault found
CLM-803799497,2024-09-08,ORD-3341460,DEV-8060956761,Battery,med,1.0,10.0,repeat failure
CLM-723231244,05/01/2024,ORD-6327349,DEV-1422970780,Physical Damage,critical,1.0,3.0,customer reports intermittent issue
CLM-971042692,2025-12-27,ORD-6170271,DEV-5448447940,Software,med,,3.0,customer reports intermittent issue
CLM-285376452,2024-09-28,ORD-3388341,DEV-8090207632,Sound Distortion,med,0.0,,needs firmware
CLM-235638667,2024-09-05,ORD-2762093,DEV-4579202935,Software,critical,1.0,3.0,no fault found
CLM-920600715,2024-12-27,ORD-7820061,DEV-9893168359,Battery,med,1.0,5.0,needs firmware
CLM-978490664,2025-04-11,ORD-5263960,DEV-8917466549,,med,1.0,5.0,no fault found
CLM-870639405,2025-12-03,ORD-4792004,DEV-8769564683,Battery,med,1.0,7.0,repeat failure
CLM-252498335,2025-03-10,ORD-8643931,DEV-9935559166,Connectivity,high,1.0,2.0,needs firmware
CLM-823901806,2024-08-02,ORD-4323402,DEV-2305175308,Sound Distortion,med,1.0,5.0,customer reports intermittent issue
CLM-459091661,12/19/2024,ORD-5939664,DEV-5967377254,Battery,low,1.0,3.0,
CLM-317259499,2025-08-30,ORD-4113809,DEV-4948369099,Connectivity,high,1.0,2.0,
CLM-316948335,09/21/2024,ORD-5906672,DEV-7148182022,Sound Distortion,low,1.0,7.0,
CLM-560769701,2024-08-05,ORD-5498571,DEV-9739450088,Mic issues,med,1.0,3.0,repeat failure
CLM-939925133,2024-02-09,ORD-8805231,DEV-5187731090,Battery,low,1.0,7.0,
CLM-232126247,2024-01-22,ORD-7538191,DEV-3247942785,Software,med,0.0,2.0,no fault found
CLM-691268787,2024-05-27,ORD-7683676,DEV-7147617751,Battery,med,1.0,5.0,customer reports intermittent issue
CLM-350644944,2025-12-25,ORD-3986626,DEV-5118902787,Overheating,med,1.0,7.0,no fault found
CLM-158286554,2024-10-10,ORD-3757563,DEV-1616119824,Battery,low,1.0,3.0,repeat failure
CLM-816508525,2024-12-30,ORD-9937492,DEV-3527197371,Software,high,0.0,5.0,needs firmware
CLM-373936748,2024-04-26,ORD-9168834,DEV-4214131291,Physical Damage,low,1.0,7.0,
CLM-891951345,12/18/2024,ORD-7544512,DEV-6638898259,,high,1.0,7.0,repeat failure
CLM-532078251,2025-07-18,ORD-9549145,DEV-1957184670,Battery,med,1.0,5.0,
CLM-587369861,2024-09-24,ORD-1297759,DEV-1830973969,Overheating,med,1.0,5.0,
CLM-539797882,2024-08-02,ORD-9098865,DEV-6058963940,Mic issues,low,1.0,3.0,customer reports intermittent issue
CLM-884555799,2024-10-22,ORD-3160689,DEV-7528442699,Sound Distortion,,1.0,7.0,repeat failure
CLM-462472988,2024-03-31,ORD-5530544,DEV-9944089974,Software,high,1.0,5.0,
CLM-869235161,2024-09-14,ORD-2219352,DEV-6822786638,Software,high,0.0,5.0,needs firmware
CLM-109436910,2025-10-05,ORD-4791410,DEV-7293891893,Sound Distortion,med,,10.0,
CLM-871996490,2024-08-28,ORD-4808654,DEV-8296188489,Software,med,1.0,3.0,
CLM-753370252,2024-07-16,ORD-2753479,DEV-1418639632,Battery,low,1.0,,needs firmware
CLM-585968261,2024-12-14,ORD-9008375,DEV-4343249333,,med,1.0,3.0,needs firmware
CLM-748088936,2025-09-03,ORD-5247355,DEV-5009449734,Software,high,1.0,7.0,no fault found
CLM-810885139,2024-10-28,ORD-1243399,DEV-5266012957,Sound Distortion,med,1.0,3.0,no fault found
CLM-782208792,2024-05-14,ORD-7019334,DEV-4015725736,Connectivity,low,1.0,3.0,repeat failure
CLM-909935182,2025-05-12,ORD-5226616,DEV-4427577717,Software,low,1.0,,customer reports intermittent issue
CLM-463571269,2025-10-11,ORD-8044369,DEV-2027219570,Software,med,1.0,3.0,no fault found
CLM-984569315,2025-09-18,ORD-2148630,DEV-2084411173,Battery,low,1.0,3.0,
CLM-854127763,2025-04-15,ORD-7242965,DEV-6811761052,Overheating,high,1.0,3.0,customer reports intermittent issue
CLM-626503998,2025-04-14,ORD-2236733,DEV-2066611892,Mic issues,,1.0,5.0,no fault found
CLM-518006666,2024-11-22,ORD-4337626,DEV-7283680752,Physical Damage,med,,3.0,customer reports intermittent issue
CLM-732730762,2025-01-13,ORD-2392837,DEV-4175452583,Connectivity,high,0.0,,needs firmware
CLM-555092979,2025-06-17,ORD-7946257,DEV-2591806642,Physical Damage,low,1.0,5.0,customer reports intermittent issue
CLM-619738072,2025-06-15,ORD-3167912,DEV-7387060161,Battery,med,0.0,3.0,
CLM-181755294,2024-10-09,ORD-7391984,DEV-7290233082,Mic issues,high,0.0,3.0,no fault found
CLM-561953894,2025-01-21,ORD-1668030,DEV-9365097434,Battery,low,1.0,7.0,no fault found
CLM-884556886,2025-02-28,ORD-9343046,DEV-2448747875,Physical Damage,low,1.0,7.0,customer reports intermittent issue
CLM-699182750,2024-03-12,OR-3978433,DEV-5636945549,Software,low,1.0,7.0,customer reports intermittent issue
CLM-556652714,2025-04-24,ORD-8271311,DEV-7213172814,Connectivity,med,0.0,5.0,customer reports intermittent issue
CLM-856278330,2025-01-16,ORD-4794373,DEV-9095263528,,critical,1.0,10.0,customer reports intermittent issue
CLM-280433338,2025-05-28,ORD-4301815,DEV-1342825256,Overheating,med,1.0,10.0,customer reports intermittent issue
CLM-557520389,2025-03-10,ORD-6614199,DEV-1948262046,Physical Damage,med,1.0,5.0,no fault found
CLM-770050260,2024-05-15,ORD-5096858,DEV-7147617751,Physical Damage,high,1.0,,repeat failure
CLM-376798609,2025-09-21,ORD-5603152,DEV-4546102982,Connectivity,high,1.0,7.0,repeat failure
CLM-217227412,2024-05-19,ORD-6913211,,Software,med,0.0,2.0,
CLM-653254345,2025-02-05,ORD-6332251,DEV-3821872315,Connectivity,high,1.0,3.0,
CLM-487123674,2024-07-20,ORD-2388574,DEV-1056035422,Battery,med,1.0,5.0,needs firmware
CLM-209865470,2025-01-18,ORD-9297041,DEV-2357972533,Overheating,low,1.0,7.0,
CLM-762211798,2025-06-21,ORD-6889794,DEV-9287057448,Battery,low,,7.0,
CLM-335541189,2025-09-14,ORD-2532421,DEV-7028132359,Software,low,1.0,5.0,
CLM-309200994,2024-10-02,ORD-8223566,DEV-3383193605,Mic issues,med,1.0,10.0,
CLM-209202339,2024-12-09,ORD-3760763,DEV-4604169265,Battery,low,1.0,7.0,repeat failure
CLM-423382144,2024-06-11,ORD-4126142,DEV-6283507492,Software,low,0.0,,
CLM-475140403,2024-05-20,ORD-2301448,DEV-1089142739,Sound Distortion,low,1.0,5.0,no fault found
CLM-737493355,2025-08-23,ORD-8600502,DEV-2741670515,Mic issues,low,1.0,3.0,no fault found
CLM-470693993,2025-08-01,ORD-6291762,,Battery,low,1.0,10.0,customer reports intermittent issue
CLM-837511545,2024-06-18,ORD-2358114,DEV-6388204626,,low,1.0,3.0,customer reports intermittent issue
CLM-209286986,2024-01-17,ORD-8858280,DEV-3491500772,Software,med,1.0,5.0,
CLM-121613016,2024-01-04,ORD-7214342,DEV-5700684242,Connectivity,low,1.0,3.0,no fault found
CLM-243425812,2024-01-31,ORD-7945583,DEV-9982661175,Sound Distortion,med,0.0,10.0,needs firmware
CLM-165009149,2024-09-25,ORD-8835172,DEV-5148772205,Connectivity,med,1.0,2.0,repeat failure
CLM-543964031,2024-01-10,ORD-8344806,DEV-4804018906,Connectivity,med,1.0,7.0,customer reports intermittent issue
CLM-420534452,2024-08-06,ORD-2635292,DEV-2382352682,Physical Damage,med,1.0,3.0,customer reports intermittent issue
CLM-512191654,2024-09-05,ORD-2931529,DEV-1156540168,Overheating,med,1.0,5.0,needs firmware
CLM-944571819,2025-10-21,ORD-5730739,DEV-5247287055,Battery,low,1.0,7.0,needs firmware
CLM-454547755,2024-07-14,ORD-8857554,DEV-2776865747,Battery,low,1.0,5.0,customer reports intermittent issue
CLM-158822417,2025-10-18,ORD-8907357,DEV-5248516788,Battery,low,0.0,3.0,repeat failure
CLM-561364319,2025-12-22,ORD-4931940,DEV-6597934134,Battery,med,1.0,7.0,no fault found
CLM-657414423,2025-09-07,ORD-8840431,DEV-8679987160,Battery,low,0.0,3.0,no fault found
CLM-156176204,2025-06-28,ORD-5460912,,Overheating,med,1.0,10.0,customer reports intermittent issue
CLM-567702699,2024-10-20,ORD-8367382,DEV-4821517495,Software,med,1.0,3.0,needs firmware
CLM-785336314,2024-02-28,ORD-8744790,DEV-7732873676,Sound Distortion,high,1.0,5.0,no fault found
CLM-873550164,2024-05-03,ORD-7788546,DEV-2593084556,Software,med,1.0,3.0,
CLM-765531540,2024-07-14,ORD-4971183,DEV-9726790829,Software,med,1.0,5.0,customer reports intermittent issue
CLM-266101662,2025-02-12,ORD-3654330,DEV-3775519130,Software,low,1.0,3.0,no fault found
CLM-281521491,2025-08-02,ORD-9794267,DEV-4612493984,Software,high,1.0,10.0,
CLM-900601607,2025-08-24,ORD-6458906,DEV-6614482895,Connectivity,low,1.0,5.0,
CLM-835914810,2024-07-23,ORD-6040908,DEV-1349410984,Connectivity,high,1.0,7.0,customer reports intermittent issue
CLM-927639677,2025-12-30,ORD-3778655,DEV-1189943494,Battery,med,0.0,,customer reports intermittent issue
CLM-850774381,2024-09-11,ORD-5715230,DEV-2521800946,Software,low,1.0,7.0,repeat failure
CLM-446689556,2024-01-26,ORD-3390475,DEV-8017042743,Battery,low,1.0,10.0,
CLM-701606694,2025-09-02,ORD-6810185,DEV-6905714777,Software,high,0.0,,
CLM-845142018,2025-07-28,ORD-3355886,DEV-7299429450,Connectivity,med,1.0,10.0,repeat failure
CLM-511729333,2024-01-10,ORD-4930043,DEV-8799914573,Battery,med,1.0,5.0,customer reports intermittent issue
CLM-441379269,2024-12-10,OR-6572350,DEV-1561926886,Battery,high,1.0,,customer reports intermittent issue
CLM-486731767,2024-01-10,ORD-2490605,DEV-9482644622,Software,high,1.0,3.0,
CLM-324090313,2024-10-08,ORD-2762093,DEV-9366861672,Sound Distortion,low,1.0,10.0,customer reports intermittent issue
CLM-377804146,2024-04-12,ORD-4721076,DEV-1748618854,Software,high,1.0,3.0,customer reports intermittent issue
CLM-978961382,2024-05-25,ORD-6540189,DEV-6842704263,Software,med,1.0,7.0,customer reports intermittent issue
CLM-232280696,2025-03-01,ORD-6896019,DEV-1462902335,Software,low,1.0,2.0,customer reports intermittent issue
CLM-473096372,2024-10-14,ORD-7992589,DEV-6012217942,Connectivity,med,1.0,2.0,customer reports intermittent issue
CLM-847290318,2024-04-29,ORD-1112972,DEV-1464464514,Connectivity,low,1.0,5.0,customer reports intermittent issue
CLM-681519090,2024-11-11,ORD-4668854,DEV-9648292262,Mic issues,critical,,3.0,no fault found
CLM-598179721,12/02/2025,ORD-4368454,DEV-7632121626,Connectivity,low,1.0,5.0,customer reports intermittent issue
CLM-760182724,2024-09-24,ORD-1961102,DEV-2935933722,,low,1.0,7.0,no fault found
CLM-208268245,03/13/2025,ORD-6308971,DEV-8682365561,Software,low,,3.0,needs firmware
CLM-202663134,2025-12-28,ORD-2058392,,,,1.0,10.0,no fault found
CLM-618911130,2024-08-30,ORD-2207911,DEV-3166006044,Battery,low,1.0,2.0,no fault found
CLM-521202060,2025-09-18,ORD-6315886,DEV-8554183999,Sound Distortion,med,1.0,7.0,customer reports intermittent issue
CLM-589602512,2024-12-04,ORD-7391984,DEV-7997333666,Connectivity,high,1.0,10.0,customer reports intermittent issue
CLM-539955901,2025-12-22,ORD-7198121,DEV-7763189846,Software,low,1.0,5.0,
CLM-904873577,2024-03-01,ORD-5992421,DEV-1145925536,Overheating,med,1.0,5.0,customer reports intermittent issue
CLM-872291766,2024-03-18,OR-1740352,DEV-9246699748,Battery,med,1.0,,customer reports intermittent issue
CLM-318982952,2024-10-14,ORD-5885665,DEV-3396741601,Mic issues,med,0.0,,
CLM-331666274,2024-01-26,ORD-3318574,DEV-9882810430,Overheating,high,1.0,5.0,customer reports intermittent issue
CLM-628997447,2025-04-12,ORD-7418308,DEV-8350176071,Sound Distortion,high,1.0,,customer reports intermittent issue
CLM-506204180,2025-02-23,ORD-1476335,DEV-4097258023,Software,low,1.0,10.0,needs firmware
CLM-766210273,2024-04-22,ORD-2822722,DEV-4825325266,Physical Damage,low,0.0,3.0,customer reports intermittent issue
CLM-403720854,2025-02-13,ORD-6266130,DEV-3054951226,Battery,high,0.0,5.0,customer reports intermittent issue
CLM-948169231,2024-05-20,ORD-1484271,DEV-8555581375,Software,high,1.0,5.0,
CLM-623864381,2025-11-10,ORD-7422107,DEV-7361067885,Connectivity,med,1.0,5.0,customer reports intermittent issue
CLM-454946424,2024-02-20,ORD-1173258,DEV-6723770533,Battery,low,1.0,2.0,customer reports intermittent issue
CLM-507624334,2024-05-22,ORD-3253196,DEV-2924056313,Software,med,1.0,5.0,
CLM-180555021,2025-07-26,ORD-9862355,DEV-2257021247,Connectivity,high,1.0,10.0,customer reports intermittent issue
CLM-136051451,05/17/2024,ORD-6827041,DEV-2459362422,Mic issues,low,0.0,10.0,customer reports intermittent issue
CLM-183356933,2025-01-17,ORD-9219991,DEV-4568545827,Sound Distortion,high,1.0,3.0,customer reports intermittent issue
CLM-624538392,07/05/2025,ORD-2418611,DEV-4269236828,Physical Damage,,1.0,3.0,
CLM-532027355,04/16/2024,ORD-5751566,DEV-5357630689,Sound Distortion,high,1.0,3.0,repeat failure
CLM-743542775,2024-09-17,ORD-6266433,DEV-3284378573,Overheating,low,1.0,,no fault found
CLM-806521129,2025-10-24,ORD-1822693,DEV-2971900699,Software,low,1.0,5.0,
CLM-667122552,2024-08-17,ORD-8413893,DEV-9862615427,Software,low,1.0,5.0,customer reports intermittent issue
CLM-761206090,09/14/2025,ORD-6326752,DEV-8811187678,Connectivity,high,1.0,,no fault found
CLM-792816158,2024-10-24,ORD-5005581,DEV-9801050877,Battery,low,1.0,5.0,needs firmware
CLM-445698348,2025-01-17,ORD-2162093,,Software,low,0.0,5.0,customer reports intermittent issue
CLM-718131036,2025-06-05,ORD-3250981,DEV-1989975904,Software,high,1.0,10.0,customer reports intermittent issue
CLM-201076636,2024-02-24,ORD-3007348,DEV-7208527040,Physical Damage,low,0.0,3.0,customer reports intermittent issue
CLM-640250049,2025-01-03,ORD-9799040,DEV-2927654480,Overheating,med,1.0,5.0,no fault found
CLM-662987388,2025-10-03,ORD-5996393,DEV-3774056491,Battery,high,0.0,,no fault found
CLM-894056516,2025-06-19,ORD-2677514,DEV-3985511348,Overheating,low,,10.0,customer reports intermittent issue
CLM-131502256,2025-02-24,ORD-1131350,,Battery,high,1.0,5.0,
CLM-783882402,2024-09-22,ORD-7867316,DEV-5525899856,Battery,critical,1.0,3.0,
CLM-332267954,2024-12-12,ORD-2585161,DEV-1139071960,,high,1.0,3.0,customer reports intermittent issue
CLM-137366709,2025-07-30,ORD-3979481,DEV-1106862560,Connectivity,med,1.0,10.0,repeat failure
CLM-272654689,07/15/2025,ORD-6310208,DEV-3994452858,Software,low,1.0,3.0,no fault found
CLM-633684227,2025-10-24,ORD-3981087,,Software,high,1.0,7.0,no fault found
CLM-732686271,2024-12-16,ORD-1009508,DEV-8299763883,Connectivity,high,1.0,,no fault found
CLM-214986743,2024-01-23,ORD-9043060,DEV-9178050223,Software,med,1.0,5.0,customer reports intermittent issue
CLM-209327925,2024-07-01,ORD-5169903,DEV-7929459291,Software,med,1.0,,no fault found
CLM-169551644,2025-11-29,ORD-1350954,DEV-7383049918,,,1.0,5.0,needs firmware
CLM-415711047,2025-11-22,ORD-7368863,DEV-7590907308,Sound Distortion,med,1.0,2.0,customer reports intermittent issue
CLM-187441246,2025-07-04,ORD-6982841,DEV-5763788073,Physical Damage,med,0.0,7.0,customer reports intermittent issue
CLM-165997795,2025-10-10,ORD-9327723,DEV-1393019146,Physical Damage,med,1.0,10.0,
CLM-331024460,2024-09-19,ORD-5681879,DEV-1160452507,Connectivity,high,1.0,5.0,customer reports intermittent issue
CLM-622507950,2025-04-24,ORD-3392288,DEV-9178050223,,med,1.0,7.0,repeat failure
CLM-993815189,2025-09-15,ORD-4592169,DEV-3072986965,Mic issues,med,1.0,5.0,repeat failure
CLM-583236665,2024-07-20,ORD-1400964,DEV-7181574930,Software,high,0.0,7.0,repeat failure
CLM-644115178,2024-06-28,ORD-9736467,DEV-9151837531,Physical Damage,critical,1.0,5.0,customer reports intermittent issue
CLM-395701616,2025-02-28,ORD-6265241,DEV-9063847768,Software,low,1.0,5.0,repeat failure
CLM-771967703,2025-11-08,ORD-8419198,DEV-7722468871,Battery,med,1.0,,needs firmware
CLM-395777730,2024-11-19,ORD-3316461,DEV-5983502741,Sound Distortion,med,1.0,3.0,no fault found
CLM-460457478,2024-09-06,ORD-6833442,DEV-3809733908,Connectivity,low,1.0,5.0,
CLM-975139448,2024-02-16,ORD-1119318,DEV-2382677827,Mic issues,low,0.0,2.0,
CLM-632905605,2025-02-12,ORD-8066644,DEV-4901250013,Mic issues,med,1.0,3.0,customer reports intermittent issue
CLM-414486874,2024-02-25,ORD-8728430,DEV-8019000610,Sound Distortion,med,1.0,3.0,needs firmware
CLM-313972719,2024-01-22,ORD-1491019,DEV-4005904067,,low,1.0,10.0,customer reports intermittent issue
CLM-660165396,2024-02-16,ORD-1158185,DEV-4442125915,Physical Damage,med,1.0,5.0,customer reports intermittent issue
CLM-297404896,2024-02-01,ORD-3289121,DEV-9450687115,Physical Damage,high,1.0,3.0,customer reports intermittent issue
CLM-609638844,2025-12-12,ORD-1871860,DEV-6257553432,Physical Damage,med,1.0,5.0,customer reports intermittent issue
CLM-483980548,2025-06-28,ORD-5637862,DEV-9063847768,Overheating,critical,1.0,3.0,customer reports intermittent issue
CLM-619264822,2024-11-03,ORD-2552435,DEV-1456412490,Mic issues,low,0.0,,no fault found
CLM-134457423,2024-09-27,ORD-5637862,DEV-6876444545,Battery,low,1.0,10.0,
CLM-417238256,2024-12-29,ORD-8653505,DEV-5808216311,Mic issues,critical,1.0,10.0,customer reports intermittent issue
CLM-791591836,2025-12-20,ORD-2963754,DEV-5696007076,Physical Damage,med,1.0,10.0,
CLM-588303543,2024-06-06,ORD-1347730,DEV-5616598701,Software,high,1.0,10.0,customer reports intermittent issue
CLM-918159612,2025-10-25,ORD-2500232,DEV-2740704628,Software,low,,5.0,customer reports intermittent issue
CLM-189687369,2025-12-27,ORD-9240137,DEV-3582891399,Overheating,med,,2.0,no fault found
CLM-976049567,2025-07-14,ORD-4490194,DEV-9417524891,Mic issues,med,1.0,2.0,customer reports intermittent issue
CLM-119659843,2024-01-02,ORD-8857554,DEV-6231019926,Physical Damage,,1.0,3.0,repeat failure
CLM-565567133,2024-01-26,ORD-9291377,DEV-8266647006,Software,med,1.0,2.0,
CLM-891066057,2024-10-27,ORD-7931838,DEV-4624549163,Connectivity,critical,1.0,7.0,repeat failure
CLM-637618859,2025-10-03,ORD-8611679,DEV-8978465969,Connectivity,high,0.0,,customer reports intermittent issue
CLM-606964534,2025-09-01,ORD-6740116,DEV-9843213782,Mic issues,high,0.0,2.0,customer reports intermittent issue
CLM-235891753,2024-06-27,ORD-2813554,DEV-1062425400,Overheating,med,1.0,7.0,customer reports intermittent issue
